,expression_name,right_upward,left_upward,right_downward,left_downward,degree
0,"subset_eq(A, A)",1.0,1.0,1.0,1.0,1.0
1,"subset_eq(A, B)",1.0,0.0,0.0,1.0,1.0
2,"subset_eq(B, A)",0.0,1.0,1.0,0.0,1.0
3,"and(subset_eq(A, B), subset_eq(B, A))",0.3274295335058224,0.3274295335058224,0.3274295335058224,0.3274295335058224,0.3274295335058224
4,"or(subset_eq(A, B), subset_eq(B, A))",0.0,0.0,0.0,0.0,0.0
5,"not(subset_eq(A, B))",0.12265103249181153,1.0,1.0,0.12265103249181153,1.0
6,"not(subset_eq(B, A))",1.0,0.12265103249181153,0.12265103249181153,1.0,1.0
7,"subset_eq(A, difference(A, A))",1.0,0.0,1.0,1.0,1.0
8,"subset_eq(A, difference(A, B))",0.0,0.0,1.0,1.0,1.0
9,"subset_eq(B, difference(A, A))",0.0,1.0,1.0,1.0,1.0
10,"subset_eq(union(A, B), difference(A, A))",0.428314266273062,0.428314266273062,1.0,1.0,1.0
11,"equals(cardinality(A), cardinality(B))",0.2585332880754543,0.2585332880754543,0.2585332880754543,0.2585332880754543,0.2585332880754543
12,"greater_than(cardinality(A), cardinality(B))",0.04485415499027745,1.0,1.0,0.04485415499027745,1.0
13,"greater_than(cardinality(B), cardinality(A))",1.0,0.04485415499027745,0.04485415499027745,1.0,1.0
14,"and(subset_eq(A, B), not(subset_eq(B, A)))",1.0,0.03354386821316302,0.03354386821316302,1.0,1.0
15,"and(subset_eq(B, A), not(subset_eq(A, B)))",0.03354386821316302,1.0,1.0,0.03354386821316302,1.0
16,"or(subset_eq(A, difference(A, A)), subset_eq(B, difference(A, A)))",0.0,0.0,1.0,1.0,1.0
17,"not(or(subset_eq(A, B), subset_eq(B, A)))",0.4318444806994991,0.4318444806994991,0.4318444806994991,0.4318444806994991,0.4318444806994991
18,"and(not(subset_eq(A, B)), subset_eq(A, difference(A, B)))",0.03354386821316302,0.20404899147678157,1.0,0.7338347997738144,1.0
19,"greater_than(cardinality(index(cardinality(B), A)), cardinality(B))",0.01748621929301497,1.0,1.0,0.934499081286201,1.0
20,"and(not(subset_eq(A, B)), equals(cardinality(A), cardinality(B)))",0.3229108880637348,0.3229108880637348,0.3229108880637348,0.3229108880637348,0.3229108880637348
21,"and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A)))",0.6119116660643003,0.3145048308101711,0.3145048308101711,0.6119116660643003,0.6119116660643003
22,"greater_than(cardinality(index(cardinality(A), B)), cardinality(A))",1.0,0.01748621929301497,0.934499081286201,1.0,1.0
23,"and(not(subset_eq(B, A)), subset_eq(A, difference(A, B)))",0.20404899147678157,0.03354386821316302,0.7338347997738144,1.0,1.0
24,"and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B)))",0.3145048308101711,0.6119116660643003,0.6119116660643003,0.3145048308101711,0.6119116660643003
25,"and(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B)))",0.29443815254047445,0.29443815254047445,0.5817870835410652,0.5817870835410652,0.5817870835410652
26,"greater_than(cardinality(index(cardinality(B), A)), cardinality(intersection(A, B)))",0.02262006268008232,0.6810015939076157,1.0,0.6698098006392883,1.0
27,"greater_than(cardinality(index(cardinality(A), B)), cardinality(intersection(A, B)))",0.6810015939076157,0.02262006268008232,0.6698098006392883,1.0,1.0
28,"or(subset_eq(A, B), not(subset_eq(B, A)))",1.0,0.0,0.0,1.0,1.0
29,"or(subset_eq(A, B), subset_eq(A, difference(A, B)))",0.0,0.0,0.0,1.0,1.0
30,"or(subset_eq(A, B), subset_eq(B, difference(A, A)))",0.0,0.0,0.0,1.0,1.0
31,"or(subset_eq(A, B), equals(cardinality(A), cardinality(B)))",0.5777344858684901,0.0,0.0,0.5777344858684901,0.5777344858684901
32,"or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B)))",0.0,0.0,0.0,0.0,0.0
33,"or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A)))",1.0,0.0,0.0,1.0,1.0
34,"or(subset_eq(B, A), not(subset_eq(A, B)))",0.0,1.0,1.0,0.0,1.0
35,"or(subset_eq(B, A), subset_eq(A, difference(A, A)))",0.0,0.0,1.0,0.0,1.0
36,"or(subset_eq(B, A), subset_eq(A, difference(A, B)))",0.0,0.0,1.0,0.0,1.0
37,"or(subset_eq(B, A), equals(cardinality(A), cardinality(B)))",0.0,0.5777344858684901,0.5777344858684901,0.0,0.5777344858684901
38,"or(subset_eq(B, A), greater_than(cardinality(A), cardinality(B)))",0.0,1.0,1.0,0.0,1.0
39,"or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A)))",0.0,0.0,0.0,0.0,0.0
40,"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, A)))",0.42961090057805584,0.0,0.36089383677598874,0.42961090057805584,0.42961090057805584
41,"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",0.0,0.0,0.4459855607826445,0.4459855607826445,0.4459855607826445
42,"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(B, difference(A, A)))",0.0,0.42961090057805584,0.42961090057805584,0.36089383677598874,0.42961090057805584
43,"or(or(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",0.0,0.0,0.0,0.0,0.0
44,"or(or(subset_eq(A, B), subset_eq(B, A)), equals(cardinality(A), cardinality(B)))",0.0,0.0,0.0,0.0,0.0
45,"not(and(subset_eq(A, B), subset_eq(B, A)))",0.04682579967065048,0.04682579967065048,0.04682579967065048,0.04682579967065048,0.04682579967065048
46,"or(not(subset_eq(A, B)), subset_eq(A, difference(A, A)))",0.0,0.0,1.0,0.15164388003726836,1.0
47,"or(not(subset_eq(A, B)), subset_eq(B, difference(A, A)))",0.0,1.0,1.0,0.12464595026128611,1.0
48,"or(not(subset_eq(B, A)), subset_eq(A, difference(A, A)))",1.0,0.0,0.12464595026128611,1.0,1.0
49,"or(not(subset_eq(B, A)), subset_eq(A, difference(A, B)))",0.0,0.0,0.15164388003726836,1.0,1.0
50,"or(subset_eq(A, difference(A, A)), equals(cardinality(A), cardinality(B)))",0.30656533929601104,0.0,0.24284849354442617,0.30656533929601104,0.30656533929601104
51,"or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B)))",0.0,0.0,1.0,0.04962707952290846,1.0
